Census ID,Centroid Longitude,Centroid Latitude,Traffic fatalities,Licensed drivers (thousands),Registered vehicles (thousands),Vehicle-miles traveled (millions),Miles traveled per vehicle,Fatalities per 100K licensed drivers,Fatalities per 100K registered vehicles,Fatalities per 100M vehicle-miles traveled,Fatalities involving high blood alcohol,Percent Alcohol-Related,Total Population,Urban Population,Rural Population,Pct Urban Population,State
56,-107.555625,43.032664,164,380.18,671.529,9261,13790.915954486,43.1374612025882,24.4218790253288,1.77086707698953,54,32.9268292682927,493782,322073,171709,65.2257473945992,Wyoming
11,-77.026928,38.892064,43,349.122,240.403,3742,15565.5295483001,12.3166113851318,17.8866320303823,1.14911811865313,12,27.906976744186,572059,572059,0,100,District of Columbia
50,-72.556496,44.043498,98,550.462,551.516,7855,14242.5605059509,17.8032271074116,17.7692034319947,1.24761298535964,20,20.4081632653061,608827,232550,376277,38.196400619552,Vermont
2,-152.459342,64.609656,101,482.532,681.115,4990,7326.22244408066,20.9312543002329,14.8286265902234,2.02404809619238,30,29.7029702970297,626932,411955,214977,65.7096782426164,Alaska
38,-99.499793,47.469117,100,461.78,721.835,7594,10520.4097889407,21.6553337086925,13.8535814971566,1.31682907558599,35,35,642200,358394,283806,55.8072251635005,North Dakota
46,-99.67897,44.27203,197,563.298,882.769,8784,9950.50800379261,34.9726077493618,22.3161438609648,2.24271402550091,76,38.5786802030457,754844,391936,362908,51.9227813958911,South Dakota
10,-75.494156,39.107074,134,533.943,728.524,9301,12766.9095321499,25.0963117785981,18.3933542340403,1.44070530050532,48,35.8208955223881,783600,627045,156555,80.021056661562,Delaware
30,-110.576261,46.867085,229,712.88,1056.668,11207,10605.9803079113,32.1232184939962,21.6718969439786,2.04336575354689,100,43.6681222707424,902195,487465,414730,54.0310021669373,Montana
44,-71.433651,41.588663,83,741.841,834.501,8473,10153.3730936212,11.1883813377799,9.9460635757177,0.979582202289626,41,49.3975903614458,1048319,953295,95024,90.93558353898,Rhode Island
15,-154.525892,21.045779,142,843.876,970.518,9725,10020.4220838769,16.8271167801905,14.6313618088485,1.46015424164524,52,36.6197183098592,1211537,1109179,102358,91.5513929826328,Hawaii
33,-71.559103,43.90799,171,985.775,1244.631,13216,10618.4081868441,17.3467576272476,13.7390118034984,1.29388619854722,51,29.8245614035088,1235786,731352,504434,59.1811203557898,New Hampshire
23,-69.081113,44.885791,194,984.829,1106.776,14948,13505.894598365,19.6988512726575,17.5283887615922,1.2978324859513,58,29.8969072164948,1274923,512592,762331,40.2057222279306,Maine
16,-114.619934,45.01049,260,942.983,1393.702,14729,10568.2563417431,27.5720771212206,18.6553510004291,1.76522506619594,81,31.1538461538462,1293953,859104,434849,66.3937561874349,Idaho
31,-99.434739,41.504492,254,1315.819,1717.743,19171,11160.5752432116,19.3035668279604,14.7868452964151,1.32491784466121,78,30.7086614173228,1711263,1192706,518557,69.6974106259529,Nebraska
54,-80.274868,38.850586,411,1292.036,1415.954,20302,14338.0364051375,31.8102591568656,29.0263666757536,2.02443109053295,114,27.7372262773723,1808344,833378,974966,46.0851475161805,West Virginia
35,-106.175514,34.29149,521,1271.365,1579.258,23942,15160.2841334348,40.9795770687411,32.9901763992964,2.17609222287194,185,35.5086372360845,1819046,1364835,454211,75.030263115941,New Mexico
32,-116.399879,39.17653,395,1548.097,1326.247,19354,14593.0584574367,25.5151970451464,29.7832907444842,2.04092177327684,133,33.6708860759494,1998257,1829781,168476,91.56885225474,Nevada
49,-111.638517,39.414291,296,1582.599,2128.81,24696,11600.847421799,18.7034112873823,13.9044818466655,1.19857466796242,70,23.6486486486486,2233169,1970935,262234,88.2573150531823,Utah
5,-91.886096,34.834952,704,1862.43,1961.171,31648,16137.2975635475,37.800078392208,35.8969207682553,2.22446916076845,236,33.5227272727273,2673400,1401840,1271560,52.4365975910825,Arkansas
20,-98.210526,38.563167,461,1979.746,2408.2,29172,12113.6118262603,23.2858154530935,19.1429283282119,1.5802824626354,121,26.2472885032538,2688418,1920081,768337,71.4204785118981,Kansas
28,-90.057733,32.484248,900,1896.008,1991.65,39431,19798.1573067557,47.4681541428095,45.1886626666332,2.28246810884837,317,35.2222222222222,2844658,1388560,1456098,48.8128977191634,Mississippi
19,-93.762335,42.132789,390,2003.723,3509.431,31538,8986.64199410104,19.4637681955041,11.1129126060606,1.23660346248969,91,23.3333333333333,2926324,1786683,1139641,61.0555427218586,Iowa
9,-72.76272,41.510585,291,2694.574,3106.346,31608,10175.2992100687,10.7994807342459,9.36791973592124,0.920652999240699,112,38.4879725085911,3405565,2986850,418715,87.7049770008794,Connecticut
41,-120.556309,44.163728,456,2625.856,3078.68,35598,11562.7476710798,17.3657656779351,14.8115426091702,1.28097084105849,159,34.8684210526316,3421399,2692680,728719,78.7011395046295,Oregon
40,-97.978271,35.422612,774,2369.621,3235.64,46443,14353.5745633012,32.6634512438909,23.9210789828287,1.66655900781603,245,31.6537467700258,3450654,2254566,1196088,65.337353440826,Oklahoma
45,-81.245037,33.810122,1046,2972.369,3317.101,49551,14938.0437918532,35.1907855316752,31.5335589721266,2.11095638836754,413,39.4837476099426,4012012,2427021,1584991,60.4938619326164,South Carolina
21,-85.666739,37.567621,964,2823.454,3372.512,47322,14031.6772779459,34.1425785580357,28.5840346898691,2.03710747643802,269,27.9045643153527,4041769,2251967,1789802,55.7173603934317,Kentucky
8,-105.543955,39.029532,665,3205.054,2031.703,45891,22587.4549577374,20.7484803688175,32.7311619857824,1.44908587740516,225,33.8345864661654,4301261,3634746,666515,84.5041953975823,Colorado
1,-86.9206,32.282672,1154,3613.138,4588.837,59035,12864.9154458962,31.938995964173,25.1479841188519,1.95477259252986,394,34.1421143847487,4447100,2465539,1981561,55.4415012030312,Alabama
22,-91.336153,30.714212,904,3169.627,3822.639,44607,11669.1636327678,28.520706064152,23.6485841325848,2.02658775528504,345,38.1637168141593,4468976,3246994,1221982,72.6563311147789,Louisiana
27,-94.101406,46.776507,567,3083.007,4782.252,56570,11829.1549671577,18.3911356672236,11.8563388127602,1.00229803782924,170,29.9823633156966,4919479,3489319,1430160,70.9286288243125,Minnesota
4,-112.0705,34.345101,1150,3783.927,3985.162,57336,14387.3699488252,30.3917068167541,28.8570452092035,2.00572066415516,376,32.695652173913,5130632,4523513,607119,88.1667794532915,Arizona
24,-77.02885,39.047751,643,3594.251,4192.508,55284,13186.3791315365,17.889679936098,15.3368818854967,1.16308516026337,231,35.9253499222395,5296486,4558448,738038,86.0655158911021,Maryland
55,-89.749798,44.982996,792,3910.188,4937.877,60399,12231.7749105537,20.2547805885548,16.0392816588992,1.31127998807927,318,40.1515151515151,5363675,3665137,1698538,68.3325704857211,Wisconsin
29,-92.230655,38.311173,1130,4047.652,4889.615,68994,14110.3133886819,27.9174197781825,23.1102039731144,1.63782357886193,388,34.3362831858407,5595211,3881133,1714078,69.3652661177568,Missouri
47,-86.20886,35.896927,1288,4247.884,5143.321,70943,13793.2281496722,30.3209786331265,25.0421857784105,1.81554205488914,454,35.2484472049689,5689283,3618968,2070315,63.6102651247969,Tennessee
53,-121.422916,47.590362,563,4504.581,5695.463,55673,9774.97351839526,12.4983877523792,9.88506114428274,1.01126219172669,223,39.6092362344583,5894121,4832415,1061706,81.9870341989925,Washington
18,-86.577065,39.448159,947,4521.329,5678.318,72713,12805.3765217094,20.9451689978765,16.6774738575754,1.30238059219122,254,26.8215417106653,6080485,4303180,1777305,70.7703415105867,Indiana
25,-71.14129,41.994891,476,4645.857,5593.154,54771,9792.50705415943,10.2456877170348,8.51040396885192,0.869073049606544,181,38.0252100840336,6349097,5803451,545646,91.4059274885862,Massachusetts
51,-78.949416,37.546013,925,5112.523,6572.883,78877,12000.365745138,18.0928281398441,14.0729722406439,1.17271194391267,307,33.1891891891892,7078515,5166427,1912088,72.9874415749631,Virginia
37,-79.052731,35.627245,1557,6122.137,6298.836,95903,15225.5115072055,25.432295945027,24.7188528166156,1.62351542704608,496,31.8561335902376,8049313,4847075,3202238,60.2172508386741,North Carolina
13,-83.086436,32.580268,1634,5793.143,8011.804,112620,14056.7592517241,28.2057598094851,20.3949073142578,1.45089682116853,450,27.5397796817625,8186453,5866567,2319886,71.6618906869679,Georgia
34,-74.716337,40.172888,731,5799.532,6374.167,72844,11428.0030629885,12.6044653258228,11.4681651735827,1.00351435945308,227,31.0533515731874,8414350,7938850,475500,94.3489396091201,New Jersey
26,-85.908551,45.199633,1159,7103.404,8627.477,103326,11976.3866075795,16.3161211160171,13.4338231211744,1.12169250721019,367,31.665228645384,9938444,7419524,2518920,74.6547849945122,Michigan
39,-82.662996,40.217482,1286,7675.007,10934.942,111654,10210.7537470249,16.7556850436749,11.7604647560088,1.15177243985885,418,32.5038880248834,11353140,8780237,2572903,77.3375207211397,Ohio
42,-77.503957,40.937516,1490,8430.142,10113.463,108070,10685.7562043783,17.6746726211729,14.7328368136612,1.37873600444157,541,36.3087248322148,12281054,9461086,2819968,77.0380620425576,Pennsylvania
17,-89.198,39.742374,1356,8057.683,9507.663,109135,11478.6357067978,16.8286590574486,14.2621798858458,1.24249782379622,517,38.1268436578171,12419293,10910332,1508961,87.8498639173744,Illinois
12,-82.848294,28.391421,3244,13146.357,15519.408,196444,12657.9570560939,24.6760376277626,20.9028591812265,1.65136120217467,1053,32.4599260172626,15982378,14274392,1707986,89.313317455012,Florida
36,-75.282885,42.53788,1493,11246.675,11268.933,137898,12237.0059348121,13.2750346213436,13.2488142399995,1.08268430289054,494,33.0877427997321,18976457,16601126,2375331,87.4827477015335,New York
48,-99.209698,30.515779,3583,14543.528,17193.706,231008,13435.6141718371,24.6363880896025,20.8390209766295,1.55102853580828,1417,39.5478649176668,20851820,17204073,3647747,82.5063375762883,Texas
6,-119.663274,36.822283,4120,22761.088,32026.125,328917,10270.2715361287,18.10106792786,12.8644973439653,1.25259563962945,1367,33.1796116504854,33871648,31994895,1876753,94.4592214704168,California
